date,retail_price,wholesale_price,average_temperature,average_rainfall,diesel_price
2015-01-05,224.6,156.0,23.57,0.2,111.0
2015-01-12,266.9,178.18,23.9,0.01,111.0
2015-01-19,229.71,130.0,24.41,0.13,111.0
2015-01-26,122.89,54.0,24.94,1.57,111.0
2015-02-02,97.37,31.25,24.7,2.23,95.0
2015-02-09,83.17,27.92,25.07,1.87,95.0
2015-02-16,91.14,35.0,23.35,0.13,95.0
2015-02-23,97.86,46.0,25.23,8.96,95.0
2015-03-02,96.67,43.33,25.49,1.16,95.0
2015-03-09,92.67,37.09,25.17,4.87,95.0
2015-03-16,87.83,31.15,25.9,0.11,95.0
2015-03-23,75.0,17.31,26.79,1.83,95.0
2015-03-30,80.67,27.08,26.9,12.57,95.0
2015-04-06,92.44,35.0,26.56,4.97,95.0
2015-04-13,90.44,14.29,26.43,6.56,95.0
2015-04-20,90.71,29.55,26.26,15.09,95.0
2015-04-27,105.35,49.17,26.48,8.94,95.0
2015-05-04,93.72,45.0,26.37,6.51,95.0
2015-05-11,90.14,38.64,26.32,8.26,95.0
2015-05-18,86.0,37.5,27.06,0.36,95.0
2015-05-25,115.45,45.84,27.39,1.83,95.0
2015-06-01,119.09,60.0,26.74,3.97,95.0
2015-06-08,113.18,48.18,27.04,0.84,95.0
2015-06-15,95.35,25.0,26.54,2.26,95.0
2015-06-22,95.24,16.54,26.95,3.5,95.0
2015-06-29,97.33,24.09,26.55,3.06,95.0
2015-07-06,86.36,23.55,26.66,2.39,95.0
2015-07-13,104.77,49.54,26.26,5.77,95.0
2015-07-20,100.33,41.0,25.9,2.31,95.0
2015-07-27,100.0,37.0,26.59,0.36,95.0
2015-08-03,99.35,34.09,26.72,2.06,95.0
2015-08-10,110.5,49.5,26.96,6.24,95.0
2015-08-17,100.0,46.0,26.57,7.43,95.0
2015-08-24,102.13,55.46,26.29,1.77,95.0
2015-08-31,100.33,45.0,27.22,4.06,95.0
2015-09-07,103.33,56.0,26.04,3.0,95.0
