date,retail_price,wholesale_price,average_temperature,average_rainfall,diesel_price
2015-01-05,222.37,106.0,16.88,0.3,111.0
2015-01-12,220.33,104.33,17.38,0.34,111.0
2015-01-19,210.33,102.6,16.89,1.07,111.0
2015-01-26,168.72,93.35,17.76,3.13,111.0
2015-02-02,167.11,90.83,17.41,4.1,95.0
2015-02-09,147.11,81.82,17.29,10.41,95.0
2015-02-16,145.0,76.67,15.64,0.31,95.0
2015-02-23,120.93,53.34,17.5,10.11,95.0
2015-03-02,104.09,40.42,17.46,1.9,95.0
2015-03-09,98.22,38.75,17.37,6.76,95.0
2015-03-16,88.22,26.54,17.76,0.09,95.0
2015-03-23,88.1,25.3,18.44,4.5,95.0
2015-03-30,83.33,23.7,18.65,9.7,95.0
2015-04-06,85.53,34.17,18.53,9.99,95.0
2015-04-13,80.0,27.14,18.33,12.34,95.0
2015-04-20,89.3,27.5,18.55,11.54,95.0
2015-04-27,86.63,25.84,18.61,4.44,95.0
2015-05-04,92.73,32.69,18.72,20.09,95.0
2015-05-11,97.91,35.0,18.78,8.46,95.0
2015-05-18,115.91,48.64,19.46,2.26,95.0
2015-05-25,119.29,52.92,19.81,3.29,95.0
2015-06-01,130.0,70.0,18.94,6.99,95.0
2015-06-08,127.78,47.5,18.79,2.44,95.0
2015-06-15,116.19,42.08,18.8,2.84,95.0
2015-06-22,111.63,38.46,18.93,4.0,95.0
2015-06-29,108.14,30.42,18.9,3.87,95.0
2015-07-06,106.22,28.33,19.01,2.37,95.0
2015-07-13,107.4,40.83,18.79,8.49,95.0
2015-07-20,106.74,34.59,18.55,4.89,95.0
2015-07-27,106.05,33.6,18.38,2.1,95.0
2015-08-03,108.33,49.59,18.91,3.71,95.0
2015-08-10,104.33,44.54,19.02,10.1,95.0
2015-08-17,97.56,40.0,18.49,7.57,95.0
2015-08-24,95.0,39.55,18.59,4.37,95.0
2015-08-31,93.35,33.18,18.64,9.33,95.0
2015-09-07,91.33,27.5,18.21,5.06,95.0
2015-09-14,98.29,29.09,19.03,6.26,95.0
2015-09-21,95.0,24.17,18.59,14.99,95.0
2015-09-28,98.29,35.42,18.04,10.07,95.0
2015-10-05,97.5,35.0,18.46,6.21,95.0
2015-10-12,104.0,38.75,18.36,23.8,95.0
2015-10-19,123.24,66.36,18.16,34.74,95.0
2015-10-26,141.71,70.0,17.58,29.26,95.0
2015-11-02,169.21,79.09,17.92,19.6,95.0
2015-11-09,187.13,114.54,17.73,14.07,95.0
2015-11-16,185.0,111.54,18.01,8.33,95.0
2015-11-23,222.43,129.17,17.75,7.46,95.0
2015-11-30,220.35,123.63,17.94,14.87,95.0
2015-12-07,200.94,102.8,18.41,17.01,95.0
2015-12-14,205.0,109.58,17.59,6.11,95.0
2015-12-21,239.51,136.67,17.06,1.44,95.0
2016-01-04,196.67,91.82,17.81,3.56,95.0
2016-01-11,158.0,74.17,17.74,0.11,95.0
2016-01-18,168.77,96.67,18.39,2.23,95.0
2016-01-25,176.83,116.67,17.77,1.06,95.0
2016-02-01,165.38,96.67,17.51,0.03,95.0
2016-02-08,151.54,81.25,19.18,0.29,95.0
2016-02-15,146.51,70.56,18.34,4.01,95.0
2016-02-22,119.09,49.58,18.32,1.89,95.0
2016-02-29,115.0,49.13,19.09,0.63,95.0
2016-03-07,112.0,40.0,20.13,0.31,95.0
2016-03-14,106.74,39.5,20.75,0.0,95.0
2016-03-21,120.0,45.31,20.76,0.06,95.0
2016-03-28,140.23,71.25,19.33,7.27,95.0
2016-04-04,125.22,50.83,19.78,3.14,95.0
2016-04-11,123.48,43.64,19.86,2.8,95.0
2016-04-18,119.58,41.82,20.31,3.06,95.0
2016-04-25,116.13,46.88,20.01,7.26,95.0
2016-05-02,122.68,47.5,19.46,6.61,95.0
2016-05-09,127.91,60.84,18.56,37.7,95.0
2016-05-16,158.05,62.5,19.36,23.4,95.0
2016-05-23,166.1,65.0,19.81,3.66,95.0
2016-05-30,193.43,98.66,19.14,2.77,95.0
2016-06-06,211.82,118.63,19.19,3.89,95.0
2016-06-13,231.0,130.0,18.66,4.24,95.0
2016-06-20,210.53,110.0,18.27,7.1,95.0
2016-06-27,194.61,86.67,19.11,2.33,95.0
2016-07-04,171.19,81.54,19.15,2.9,95.0
2016-07-11,184.39,101.11,18.61,10.09,95.0
2016-07-18,182.5,97.5,18.42,3.86,95.0
2016-07-25,168.05,90.0,18.22,11.33,95.0
2016-08-01,133.6,59.0,18.48,1.11,95.0
2016-08-08,144.78,67.5,18.79,3.04,95.0
2016-08-15,147.21,76.15,18.74,4.06,95.0
2016-08-22,131.5,51.67,18.61,6.71,95.0
2016-08-29,115.41,40.36,18.59,5.43,95.0
2016-09-05,105.78,38.89,18.21,0.99,95.0
2016-09-12,117.44,51.36,18.78,4.27,95.0
