date,retail_price,wholesale_price,average_temperature,average_rainfall,diesel_price
2015-01-05,339.72,224.0,16.88,0.3,111.0
2015-01-12,291.72,173.64,17.38,0.34,111.0
2015-01-19,248.0,162.5,16.89,1.07,111.0
2015-01-26,231.21,140.0,17.76,3.13,111.0
2015-02-02,206.29,114.54,17.41,4.1,95.0
2015-02-09,192.9,112.0,17.29,10.41,95.0
2015-02-16,195.9,132.5,15.64,0.31,95.0
2015-02-23,171.21,90.83,17.5,10.11,95.0
2015-03-02,153.57,79.17,17.46,1.9,95.0
2015-03-09,138.33,68.75,17.37,6.76,95.0
2015-03-16,142.27,85.0,17.76,0.09,95.0
2015-03-23,150.0,94.61,18.44,4.5,95.0
2015-03-30,154.76,106.36,18.65,9.7,95.0
2015-04-06,171.43,98.0,18.53,9.99,95.0
2015-04-13,166.92,97.35,18.33,12.34,95.0
2015-04-20,156.19,81.82,18.55,11.54,95.0
2015-04-27,154.63,80.0,18.61,4.44,95.0
2015-05-04,154.76,81.82,18.72,20.09,95.0
2015-05-11,175.0,117.5,18.78,8.46,95.0
2015-05-18,201.56,154.17,19.46,2.26,95.0
2015-05-25,214.87,172.5,19.81,3.29,95.0
2015-06-01,249.71,180.91,18.94,6.99,95.0
2015-06-08,247.33,175.0,18.79,2.44,95.0
2015-06-15,255.64,182.73,18.8,2.84,95.0
2015-06-22,242.9,167.5,18.93,4.0,95.0
2015-06-29,224.39,151.67,18.9,3.87,95.0
2015-07-06,216.92,133.33,19.01,2.37,95.0
2015-07-13,186.92,110.84,18.79,8.49,95.0
2015-07-20,176.82,97.5,18.55,4.89,95.0
2015-07-27,173.9,96.67,18.38,2.1,95.0
2015-08-03,154.29,81.67,18.91,3.71,95.0
2015-08-10,155.7,91.82,19.02,10.1,95.0
2015-08-17,152.63,77.27,18.49,7.57,95.0
2015-08-24,155.0,86.67,18.59,4.37,95.0
2015-08-31,134.32,66.15,18.64,9.33,95.0
2015-09-07,127.18,63.63,18.21,5.06,95.0
2015-09-14,122.94,60.0,19.03,6.26,95.0
2015-09-21,120.5,56.67,18.59,14.99,95.0
2015-09-28,122.94,58.4,18.04,10.07,95.0
2015-10-05,121.82,53.75,18.46,6.21,95.0
2015-10-12,124.35,55.0,18.36,23.8,95.0
2015-10-19,200.0,111.82,18.16,34.74,95.0
2015-10-26,180.26,101.67,17.58,29.26,95.0
2015-11-02,227.69,151.67,17.92,19.6,95.0
2015-11-09,274.48,175.46,17.73,14.07,95.0
2015-11-16,278.79,183.64,18.01,8.33,95.0
2015-11-23,301.5,223.08,17.75,7.46,95.0
2015-11-30,296.76,191.54,17.94,14.87,95.0
2015-12-07,305.0,196.92,18.41,17.01,95.0
2015-12-14,307.0,201.67,17.59,6.11,95.0
2015-12-21,378.13,293.85,17.06,1.44,95.0
2016-01-04,290.0,185.0,17.81,3.56,95.0
2016-01-11,264.86,177.0,17.74,0.11,95.0
2016-01-18,300.91,275.0,18.39,2.23,95.0
2016-01-25,298.0,213.63,17.77,1.06,95.0
2016-02-01,297.78,208.18,17.51,0.03,95.0
2016-02-08,249.14,206.67,19.18,0.29,95.0
2016-02-15,245.0,155.0,18.34,4.01,95.0
2016-02-22,194.75,132.5,18.32,1.89,95.0
2016-02-29,171.63,87.5,19.09,0.63,95.0
2016-03-07,160.0,82.73,20.13,0.31,95.0
2016-03-14,141.11,72.86,20.75,0.0,95.0
2016-03-21,138.22,72.5,20.76,0.06,95.0
2016-03-28,179.07,99.17,19.33,7.27,95.0
2016-04-04,156.25,81.82,19.78,3.14,95.0
2016-04-11,156.3,69.0,19.86,2.8,95.0
2016-04-18,158.0,80.0,20.31,3.06,95.0
2016-04-25,150.93,74.55,20.01,7.26,95.0
2016-05-02,145.12,72.5,19.46,6.61,95.0
2016-05-09,144.76,70.0,18.56,37.7,95.0
2016-05-16,198.06,85.0,19.36,23.4,95.0
2016-05-23,216.22,97.5,19.81,3.66,95.0
2016-05-30,272.12,155.0,19.14,2.77,95.0
2016-06-06,276.5,168.34,19.19,3.89,95.0
2016-06-13,282.5,185.45,18.66,4.24,95.0
2016-06-20,288.65,226.67,18.27,7.1,95.0
2016-06-27,269.46,170.0,19.11,2.33,95.0
2016-07-04,220.95,131.67,19.15,2.9,95.0
2016-07-11,223.5,143.34,18.61,10.09,95.0
2016-07-18,186.98,103.0,18.42,3.86,95.0
2016-07-25,180.56,100.5,18.22,11.33,95.0
2016-08-01,155.6,70.0,18.48,1.11,95.0
2016-08-08,142.08,62.5,18.79,3.04,95.0
2016-08-15,134.57,61.5,18.74,4.06,95.0
2016-08-22,135.59,63.0,18.61,6.71,95.0
2016-08-29,117.22,55.0,18.59,5.43,95.0
2016-09-05,112.5,50.0,18.21,0.99,95.0
2016-09-12,124.88,60.0,18.78,4.27,95.0
2016-09-19,125.9,65.0,18.86,1.79,95.0
2016-09-26,123.47,55.0,19.01,2.23,95.0
2016-10-03,120.83,50.0,18.36,2.06,95.0
2016-10-10,122.13,51.67,18.72,7.6,95.0
2016-10-17,143.7,68.33,17.91,5.96,95.0
2016-10-24,145.5,75.0,17.74,9.0,95.0
2016-10-31,138.84,73.33,18.09,16.96,95.0
2016-11-07,135.35,72.1,17.44,4.96,95.0
2016-11-14,133.5,70.83,17.59,15.87,95.0
2016-11-21,132.73,53.33,18.05,9.13,95.0
2016-11-28,154.55,83.33,17.36,0.14,95.0
2016-12-05,176.0,84.17,17.6,1.61,95.0
2016-12-12,158.5,99.17,17.19,2.1,95.0
2016-12-19,158.0,85.0,17.46,2.19,95.0
2016-12-26,154.39,75.83,17.14,3.93,95.0
2017-01-02,133.41,65.83,13.68,0.57,95.0
2017-01-09,121.95,64.17,13.29,0.01,95.0
2017-01-16,126.32,75.83,14.51,2.53,95.0
2017-01-23,116.32,45.42,15.7,14.5,95.0
2017-01-30,114.55,43.33,14.29,0.77,95.0
2017-02-06,103.1,37.92,15.21,1.59,95.0
2017-02-13,111.96,45.0,14.33,3.87,95.0
2017-02-20,111.96,45.0,15.49,2.43,95.0
2017-02-27,101.96,38.75,15.44,5.97,95.0
2017-03-06,94.04761904761904,126.0,16.87,3.01,95.0
2017-03-13,101.1904761904762,137.272727272727,16.09,1.51,95.0
2017-03-20,119.26829268292684,135.384615384615,15.59,0.21,95.0
2017-03-27,140.52631578947367,145.454545454545,16.89,3.0,95.0
2017-04-03,139.5,153.636363636363,16.77,4.24,95.0
2017-04-10,153.93939393939394,191.11111111111111,17.01,2.36,95.0
2017-04-17,219.0909090909091,198.4615385,18.14,0.01,95.0
2017-04-24,218.8235294117647,152.727272727272,18.43,0.39,95.0
2017-05-01,278.3783783783784,111.111111111111,18.26,3.46,95.0
2017-05-08,272.94117647058823,101.818181818181,17.84,3.1,95.0
2017-05-15,299.35483870967744,99.0909090909091,18.31,4.29,95.0
2017-05-22,297.3333333333333,90.0,17.39,3.44,95.0
2017-05-29,300.0,84.0,16.52,3.07,95.0
2017-06-05,268.7096774193548,96.6666666666666,16.97,0.27,95.0
2017-06-12,356.6666666666667,124.615384615384,17.61,1.54,95.0
2017-06-19,320.7692307692308,116.0,16.91,3.44,95.0
2017-06-26,296.2962962962963,131.111111111111,16.51,1.13,95.0
2017-07-03,243.33333333333337,134.0,16.86,0.61,95.0
2017-07-10,241.76470588235293,136.0,16.49,0.31,95.0
2017-07-17,246.28571428571428,138.3333333,17.19,0.16,95.0
2017-07-24,231.33333333333337,140.0,17.46,1.04,95.0
2017-07-31,214.48275862068965,135.384615384615,16.96,0.79,95.0
2017-08-07,207.1428571428571,139.0909091,17.51,1.91,95.0
2017-08-14,164.6341463414634,138.333333333333,16.51,2.0,95.0
2017-08-21,156.09756097560975,142.14285714285714,16.45,1.13,95.0
2017-08-28,135.89743589743588,144.0,16.86,6.1,95.0
2017-09-04,148.0,158.888888888888,16.4,6.76,95.0
2017-09-11,149.21052631578948,162.5,16.34,1.56,95.0
2017-09-18,136.31578947368422,164.1666667,16.29,0.71,95.0
2017-09-25,157.5,166.0,16.53,0.64,95.0
2017-10-02,167.71428571428572,152.0,17.18,2.5,95.0
2017-10-09,160.23809523809524,145.4545455,16.48,3.27,95.0
2017-10-16,177.5,130.0,16.48,1.91,95.0
2017-10-23,186.5625,146.6666667,16.84,15.79,95.0
2017-10-30,189.0,139.1666667,16.35,12.53,95.0
2017-11-06,221.6216216216216,129.1666667,15.95,6.27,95.0
2017-11-13,223.24324324324328,127.2727273,15.99,0.74,95.0
2017-11-20,240.3571428571429,122.0,15.29,10.21,95.0
2017-11-27,210.55555555555551,117.0,15.61,28.33,95.0
2017-12-04,207.87878787878788,118.75,15.81,2.79,95.0
2017-12-11,205.5,115.4545455,15.43,2.47,95.0
2017-12-18,186.66666666666663,125.8333333,14.21,2.71,95.0
