date,retail_price,wholesale_price,average_temperature,average_rainfall,diesel_price
2015-01-05,106.92,33.0,24.91,0.23,111.0
2015-01-12,107.35,43.89,24.79,0.04,111.0
2015-01-19,119.46,78.5,25.62,0.04,111.0
2015-01-26,154.32,93.0,25.4,0.74,111.0
2015-02-02,171.2,128.0,25.22,3.99,95.0
2015-02-09,194.0,130.91,25.97,2.9,95.0
2015-02-16,190.0,124.17,24.91,0.07,95.0
2015-02-23,188.71,109.09,26.19,4.96,95.0
2015-03-02,159.77,73.33,27.11,0.57,95.0
2015-03-09,125.81,66.36,26.52,2.71,95.0
2015-03-16,113.26,57.31,27.13,0.16,95.0
2015-03-23,97.69,37.73,28.26,1.23,95.0
2015-03-30,83.95,28.63,28.76,3.61,95.0
2015-04-06,90.27,28.0,28.31,3.13,95.0
2015-04-13,79.55,25.0,27.86,5.73,95.0
2015-04-20,79.3,23.64,27.8,6.43,95.0
2015-04-27,75.91,20.45,28.32,2.36,95.0
2015-05-04,72.89,20.0,28.04,8.47,95.0
2015-05-11,70.0,19.0,27.19,9.39,95.0
2015-05-18,67.0,17.5,28.16,0.37,95.0
2015-05-25,66.36,17.27,28.63,1.44,95.0
2015-06-01,64.35,13.91,27.79,3.13,95.0
2015-06-08,70.25,18.73,28.2,0.21,95.0
2015-06-15,66.67,17.22,28.01,1.57,95.0
2015-06-22,67.5,17.73,28.38,1.16,95.0
2015-06-29,68.5,20.91,28.07,0.96,95.0
2015-07-06,76.28,29.23,28.61,0.61,95.0
2015-07-13,74.33,28.5,28.66,1.31,95.0
2015-07-20,84.88,36.0,27.96,1.24,95.0
2015-07-27,94.0,49.0,28.65,0.49,95.0
2015-08-03,90.0,40.0,28.77,0.47,95.0
2015-08-10,79.19,32.0,29.51,6.59,95.0
2015-08-17,83.25,34.55,28.19,2.27,95.0
2015-08-24,85.5,36.67,28.26,0.36,95.0
2015-08-31,82.11,35.91,28.57,3.99,95.0
2015-09-07,75.95,33.64,27.46,2.54,95.0
2015-09-14,84.2,43.75,28.1,1.17,95.0
2015-09-21,93.68,45.0,28.09,3.61,95.0
2015-09-28,84.2,45.0,27.35,3.1,95.0
2015-10-05,82.25,40.42,27.55,1.76,95.0
2015-10-12,80.35,38.64,27.5,11.89,95.0
2015-10-19,88.57,41.67,27.15,8.77,95.0
2015-10-26,98.33,43.64,25.6,21.21,95.0
2015-11-02,99.15,46.82,25.8,12.54,95.0
2015-11-09,97.35,38.0,25.69,23.66,95.0
2015-11-16,94.77,36.67,26.37,6.27,95.0
2015-11-23,93.59,35.77,25.67,4.16,95.0
2015-11-30,90.91,29.55,25.77,10.2,95.0
2015-12-07,92.95,34.09,26.29,11.73,95.0
2015-12-14,94.5,39.17,26.01,4.34,95.0
2015-12-21,99.55,42.73,25.71,0.97,95.0
2016-01-04,100.27,45.45,25.64,0.79,95.0
2016-01-11,96.22,44.05,24.99,0.0,95.0
2016-01-18,101.61,62.0,25.96,1.23,95.0
2016-01-25,104.05,62.5,25.95,0.01,95.0
2016-02-01,128.75,78.0,26.02,0.0,95.0
2016-02-08,151.14,110.0,27.01,0.27,95.0
2016-02-15,149.51,80.0,27.03,1.83,95.0
2016-02-22,134.76,65.42,27.7,0.5,95.0
2016-02-29,125.58,60.5,28.04,0.23,95.0
2016-03-07,114.63,41.67,29.25,0.2,95.0
2016-03-14,87.73,37.5,29.56,0.26,95.0
2016-03-21,83.02,25.0,30.36,0.0,95.0
2016-03-28,80.89,22.5,29.53,3.54,95.0
2016-04-04,78.05,22.1,29.81,2.36,95.0
2016-04-11,77.27,22.5,30.23,0.44,95.0
2016-04-18,89.75,27.5,30.36,1.29,95.0
2016-04-25,85.68,26.25,30.61,2.89,95.0
2016-05-02,88.0,27.3,29.49,4.49,95.0
2016-05-09,90.0,27.8,27.72,16.77,95.0
2016-05-16,93.89,36.25,27.33,30.34,95.0
2016-05-23,111.05,43.75,28.18,0.53,95.0
2016-05-30,120.47,55.42,28.03,0.96,95.0
2016-06-06,122.0,60.0,27.67,1.09,95.0
2016-06-13,130.0,75.91,28.07,0.81,95.0
2016-06-20,156.98,93.33,27.98,1.53,95.0
2016-06-27,175.25,103.34,28.44,0.47,95.0
2016-07-04,199.52,140.0,28.73,0.19,95.0
2016-07-11,214.74,157.5,28.57,0.51,95.0
2016-07-18,210.25,144.54,28.3,0.93,95.0
2016-07-25,186.15,92.5,27.76,1.61,95.0
2016-08-01,157.69,80.0,28.88,0.17,95.0
2016-08-08,142.4,62.5,29.09,0.91,95.0
2016-08-15,118.92,44.0,29.04,0.19,95.0
2016-08-22,100.98,34.0,28.17,2.67,95.0
