vegetable,week_start,wholesale_price,retail_price
BRINJALS,2000-01-03,19.2,40.0
CABBAGE,2000-01-03,14.67,35.79
CARROT,2000-01-03,37.67,57.21
LEEKS,2000-01-03,27.27,43.11
PUMPKIN,2000-01-03,7.07,25.49
SNAKE GOURD,2000-01-03,16.07,34.49
BRINJALS,2000-01-10,12.8,37.89
CABBAGE,2000-01-10,12.7,36.33
CARROT,2000-01-10,32.0,54.09
LEEKS,2000-01-10,22.0,41.65
PUMPKIN,2000-01-10,7.0,24.73
SNAKE GOURD,2000-01-10,12.3,34.22
BRINJALS,2000-01-17,11.2,33.69
CABBAGE,2000-01-17,10.3,33.86
CARROT,2000-01-17,29.85,48.82
LEEKS,2000-01-17,23.05,40.65
PUMPKIN,2000-01-17,6.0,23.28
SNAKE GOURD,2000-01-17,11.5,30.31
BRINJALS,2000-01-24,9.73,29.47
CABBAGE,2000-01-24,14.47,34.26
CARROT,2000-01-24,34.67,56.38
LEEKS,2000-01-24,20.53,42.64
PUMPKIN,2000-01-24,5.47,21.19
SNAKE GOURD,2000-01-24,15.73,32.92
BRINJALS,2000-01-31,10.13,32.6
CABBAGE,2000-01-31,11.73,33.76
CARROT,2000-01-31,33.93,51.6
LEEKS,2000-01-31,20.0,41.76
PUMPKIN,2000-01-31,5.0,20.16
SNAKE GOURD,2000-01-31,19.67,34.87
BRINJALS,2000-02-07,10.5,29.78
CABBAGE,2000-02-07,8.2,32.94
CARROT,2000-02-07,31.85,50.21
LEEKS,2000-02-07,19.3,39.95
PUMPKIN,2000-02-07,4.85,19.98
SNAKE GOURD,2000-02-07,17.75,33.67
BRINJALS,2000-02-14,11.2,31.85
CABBAGE,2000-02-14,12.95,33.28
CARROT,2000-02-14,34.75,56.53
LEEKS,2000-02-14,21.0,40.42
PUMPKIN,2000-02-14,8.8,20.03
SNAKE GOURD,2000-02-14,15.9,33.65
BRINJALS,2000-02-21,8.7,31.87
CABBAGE,2000-02-21,10.9,32.53
CARROT,2000-02-21,31.7,53.18
LEEKS,2000-02-21,17.6,41.3
PUMPKIN,2000-02-21,6.0,20.53
SNAKE GOURD,2000-02-21,19.0,33.97
BRINJALS,2000-02-28,9.6,28.29
CABBAGE,2000-02-28,9.13,30.81
CARROT,2000-02-28,28.73,49.74
LEEKS,2000-02-28,19.47,39.12
PUMPKIN,2000-02-28,5.4,19.92
SNAKE GOURD,2000-02-28,18.27,35.36
BRINJALS,2000-03-06,7.87,27.55
CABBAGE,2000-03-06,8.07,30.28
CARROT,2000-03-06,27.73,48.7
LEEKS,2000-03-06,16.8,39.49
PUMPKIN,2000-03-06,5.27,19.54
SNAKE GOURD,2000-03-06,14.67,32.69
BRINJALS,2000-03-13,8.33,29.66
CABBAGE,2000-03-13,9.0,31.05
CARROT,2000-03-13,28.73,49.81
LEEKS,2000-03-13,18.13,38.77
PUMPKIN,2000-03-13,5.53,19.34
SNAKE GOURD,2000-03-13,16.8,33.63
BRINJALS,2000-03-20,10.1,29.37
CABBAGE,2000-03-20,12.85,33.98
CARROT,2000-03-20,33.45,49.83
LEEKS,2000-03-20,23.4,40.87
PUMPKIN,2000-03-20,5.85,20.94
SNAKE GOURD,2000-03-20,17.9,34.69
BRINJALS,2000-03-27,11.0,30.42
CABBAGE,2000-03-27,18.07,36.53
CARROT,2000-03-27,30.87,51.97
LEEKS,2000-03-27,22.4,41.59
PUMPKIN,2000-03-27,7.13,22.26
SNAKE GOURD,2000-03-27,16.87,34.47
BRINJALS,2000-04-03,10.3,28.95
CABBAGE,2000-04-03,16.5,37.21
CARROT,2000-04-03,29.05,49.46
LEEKS,2000-04-03,19.6,40.19
PUMPKIN,2000-04-03,6.25,21.74
SNAKE GOURD,2000-04-03,14.95,32.98
BRINJALS,2000-04-10,13.1,32.91
CABBAGE,2000-04-10,14.2,35.14
CARROT,2000-04-10,29.4,48.05
LEEKS,2000-04-10,20.7,40.18
PUMPKIN,2000-04-10,6.6,22.93
SNAKE GOURD,2000-04-10,14.7,33.16
BRINJALS,2000-04-17,11.8,35.74
CABBAGE,2000-04-17,20.0,39.38
CARROT,2000-04-17,32.4,49.92
LEEKS,2000-04-17,22.2,41.57
PUMPKIN,2000-04-17,7.4,23.06
SNAKE GOURD,2000-04-17,16.6,33.98
BRINJALS,2000-04-24,9.2,33.81
CABBAGE,2000-04-24,14.2,38.59
CARROT,2000-04-24,28.13,49.3
LEEKS,2000-04-24,20.8,41.27
PUMPKIN,2000-04-24,6.2,23.48
SNAKE GOURD,2000-04-24,10.2,34.19
BRINJALS,2000-05-01,11.4,31.3
CABBAGE,2000-05-01,14.95,36.32
CARROT,2000-05-01,29.85,50.0
LEEKS,2000-05-01,24.15,40.8
PUMPKIN,2000-05-01,6.5,23.18
SNAKE GOURD,2000-05-01,11.0,30.37
BRINJALS,2000-05-08,12.75,33.57
CABBAGE,2000-05-08,12.15,35.81
CARROT,2000-05-08,27.55,49.02
LEEKS,2000-05-08,19.3,40.17
PUMPKIN,2000-05-08,6.1,23.46
SNAKE GOURD,2000-05-08,13.3,30.35
BRINJALS,2000-05-15,21.53,37.72
CABBAGE,2000-05-15,12.53,36.99
CARROT,2000-05-15,28.87,48.41
LEEKS,2000-05-15,20.8,40.26
PUMPKIN,2000-05-15,7.07,23.07
SNAKE GOURD,2000-05-15,15.0,33.28
BRINJALS,2000-05-22,17.47,41.5
CABBAGE,2000-05-22,12.13,36.76
CARROT,2000-05-22,27.6,48.71
LEEKS,2000-05-22,19.6,40.93
PUMPKIN,2000-05-22,7.13,23.45
SNAKE GOURD,2000-05-22,15.73,32.52
BRINJALS,2000-05-29,27.5,42.73
