week_start_date,district,average_temperature,average_rainfall
2013-12-30,Ampara,24.5,9.66
2014-01-06,Ampara,25.21,3.41
2014-01-13,Ampara,24.68,7.74
2014-01-20,Ampara,24.85,1.4
2014-01-27,Ampara,24.77,3.24
2014-02-03,Ampara,24.46,0.0
2014-02-10,Ampara,24.97,0.33
2014-02-17,Ampara,26.16,1.59
2014-02-24,Ampara,26.26,1.23
2014-03-03,Ampara,26.55,1.33
2014-03-10,Ampara,26.71,0.21
2014-03-17,Ampara,26.74,3.11
2014-03-24,Ampara,26.89,0.39
2014-03-31,Ampara,27.54,2.14
2014-04-07,Ampara,28.22,0.24
2014-04-14,Ampara,28.3,0.33
2014-04-21,Ampara,28.65,2.09
2014-04-28,Ampara,28.0,6.74
2014-05-05,Ampara,27.76,7.09
2014-05-12,Ampara,28.99,1.71
2014-05-19,Ampara,29.61,1.26
2014-05-26,Ampara,29.46,1.66
2014-06-02,Ampara,29.42,3.67
2014-06-09,Ampara,30.44,0.21
2014-06-16,Ampara,30.7,0.03
2014-06-23,Ampara,30.4,0.13
2014-06-30,Ampara,30.1,0.96
2014-07-07,Ampara,30.31,0.03
2014-07-14,Ampara,30.61,0.03
2014-07-21,Ampara,31.17,0.5
2014-07-28,Ampara,30.96,0.04
2014-08-04,Ampara,30.46,2.46
2014-08-11,Ampara,28.89,5.5
2014-08-18,Ampara,27.99,5.59
2014-08-25,Ampara,28.97,0.61
2014-09-01,Ampara,28.91,7.44
2014-09-08,Ampara,28.67,2.53
2014-09-15,Ampara,29.2,0.31
2014-09-22,Ampara,28.36,3.33
2014-09-29,Ampara,27.19,10.13
2014-10-06,Ampara,28.07,5.06
2014-10-13,Ampara,26.99,9.03
2014-10-20,Ampara,26.63,8.13
2014-10-27,Ampara,26.76,6.44
2014-11-03,Ampara,26.99,2.13
2014-11-10,Ampara,26.22,4.33
2014-11-17,Ampara,25.33,19.8
2014-11-24,Ampara,25.14,18.66
2014-12-01,Ampara,25.58,8.51
2014-12-08,Ampara,25.77,8.16
2014-12-15,Ampara,25.29,31.39
2014-12-22,Ampara,23.86,53.51
2014-12-29,Ampara,26.09,1.29
2015-01-05,Ampara,25.2,0.93
2015-01-12,Ampara,25.04,0.66
2015-01-19,Ampara,25.24,1.03
2015-01-26,Ampara,25.63,2.96
2015-02-02,Ampara,25.14,5.29
2015-02-09,Ampara,25.15,6.77
2015-02-16,Ampara,24.49,0.53
2015-02-23,Ampara,25.65,5.2
2015-03-02,Ampara,26.36,0.46
2015-03-09,Ampara,25.88,6.41
2015-03-16,Ampara,25.56,0.41
2015-03-23,Ampara,26.49,2.06
2015-03-30,Ampara,27.44,2.53
2015-04-06,Ampara,27.52,2.09
2015-04-13,Ampara,27.26,5.69
2015-04-20,Ampara,27.66,3.99
2015-04-27,Ampara,27.99,1.69
2015-05-04,Ampara,27.97,5.7
2015-05-11,Ampara,28.15,7.83
2015-05-18,Ampara,29.24,0.71
2015-05-25,Ampara,29.54,2.66
2015-06-01,Ampara,28.68,7.79
2015-06-08,Ampara,28.94,1.9
2015-06-15,Ampara,29.52,0.51
2015-06-22,Ampara,30.03,0.43
2015-06-29,Ampara,29.51,3.46
2015-07-06,Ampara,29.79,0.81
2015-07-13,Ampara,30.04,0.16
2015-07-20,Ampara,29.7,0.87
2015-07-27,Ampara,29.46,0.7
2015-08-03,Ampara,29.8,1.9
2015-08-10,Ampara,30.01,2.9
